venue_name,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,"Where Every Bite Tells a Story The best flavors are meant to be savored in person. Join us at Mezzo Market and discover a world of authentic tastes, fresh ingredients, and heartfelt hospitality. Don’t miss out — the true Mezzo Market experi",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,"Menu Order Now Contact info@mezzomarketclt.com 704-595-3273 2212 The Plaza,Charlotte, NC 28205 Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,"Menu Order Now Contact info@mezzomarketclt.com 704-595-3273 2212 The Plaza,Charlotte, NC 28205 Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m",https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu
Mezzo Market,Special,,Sunday,,,,,,pizza;burgers;drinks;happy_hour,medium,"(function($){ $('body').on('click', '.dfh-163-hamburger-icon', function(){ $(this).find('.et-pb-icon').addClass('active'); $("".dfh-163-menu-row"").toggleClass(""dfh-163-menu""); $("".dfh-163-section"").toggleClass(""dfh-163-menu-section""); }); $(",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,pizza;burgers;drinks;happy_hour,medium,"(function($){ $('body').on('click', '.dfh-163-hamburger-icon', function(){ $(this).find('.et-pb-icon').addClass('active'); $("".dfh-163-menu-row"").toggleClass(""dfh-163-menu""); $("".dfh-163-section"").toggleClass(""dfh-163-menu-section""); }); $(",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,pizza;drinks;happy_hour,medium,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,pizza;drinks;happy_hour,low,"Explore Our Menu Indulge in our expertly crafted menu with fresh, high-quality dishes and drinks. Whether you’re craving a savory meal or a refreshing drink, we’ve got something for everyone. Food & Drinks Salads, Grain Bowls & Small Plates",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"Savor the Flavors At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,,,,,,,,low,"At Mezzo Market, we take immense pride in crafting every dish with the utmost care, combining the finest fresh ingredients and time-honored culinary techniques to bring out the most authentic and unforgettable flavors. Our diverse menu cate",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,"Where Every Bite Tells a Story The best flavors are meant to be savored in person. Join us at Mezzo Market and discover a world of authentic tastes, fresh ingredients, and heartfelt hospitality. Don’t miss out — the true Mezzo Market experi",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,"Menu Order Now Contact info@mezzomarketclt.com 704-595-3273 2212 The Plaza,Charlotte, NC 28205 Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,"Menu Order Now Contact info@mezzomarketclt.com 704-595-3273 2212 The Plaza,Charlotte, NC 28205 Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m",https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,Hours Sunday: 10:00 a.m. – 9:00 p.m. Monday: Closed Tue – Thu: 11:00 a.m. – 10:00 p.m. Friday: 11 a.m. – 11 p.m. Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Sunday,,,,,,,medium,Sunday: 10:00 a.m. – 9:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Monday,,,,,,,medium,Monday: Closed,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Friday,,,,,,,medium,Friday: 11 a.m. – 11 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu/
Mezzo Market,Special,,Saturday,,,,,,,medium,Saturday: 10:00 a.m. – 11:00 p.m.,https://mezzomarketclt.com/menu/
McHale's Pub,Special,,,,,,,,,low,.navbar.nav-v6 .container { padding-top: 10px; padding-bottom: 10px; } .navbar.nav-v6.nav-scroll .container { padding-top: 0px; padding-bottom: 0px; } .navbar.nav-v6 .header-logo img { max-width: 100%; } .navbar.nav-v6.nav-scroll .header-lo,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,SpecialsWe are updating our specialsPlease stay tuned,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,SpecialsWe are updating our specialsPlease stay tuned,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,SpecialsWe are updating our specialsPlease stay tuned,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,SpecialsWe are updating our specialsPlease stay tuned,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,Specials,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,We are updating our specialsPlease stay tuned,https://mchalespubnoda.com/specials
McHale's Pub,Special,,,,,,,,,low,We are updating our specials,https://mchalespubnoda.com/specials
Jack in the Box,Special,,Monday,04:00,04:00,,,,tacos;burgers,medium,"jQuery(document).ready(function() { var amenitiesString = ""{&quot;has_drive_through&quot;:&quot;true&quot;}""; var objAmenities = JSON.parse(amenitiesString.replace(/&quot;/g, '""')); content = """"; jQuery.each(objAmenities, function(i, item) ",https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,"Jack in the Box OPEN TODAY UNTIL 04:00 A.M. 2113 W Happy Valley Rd Phoenix, AZ 85085 (623) 869-5006 View Menu Get Directions Order NOW Download APP Download APP Available at this Location DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 0",https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,"2113 W Happy Valley Rd Phoenix, AZ 85085 (623) 869-5006 View Menu Get Directions Order NOW Download APP Download APP Available at this Location DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 04:00 AM to 04:00 AM Tuesday 04:00 AM to 04:0",https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 04:00 AM to 04:00 AM Tuesday 04:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM LOBBY HOURS Today 05,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,Today 04:00 AM to 04:00 AM Monday 04:00 AM to 04:00 AM Tuesday 04:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,Monday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,,,,,,,medium,Monday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,04:00,04:00,,,,,medium,Tuesday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,,,,,,,medium,Tuesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,04:00,04:00,,,,,medium,Wednesday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,,,,,,,medium,Wednesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,04:00,04:00,,,,,medium,Thursday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,,,,,,,medium,Thursday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,04:00,04:00,,,,,medium,Friday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,,,,,,,medium,Friday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,04:00,04:00,,,,,medium,Saturday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,,,,,,,medium,Saturday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,05:00,22:00,,,,,medium,Today 05:00 AM to 10:00 PM Monday 05:00 AM to 10:00 PM Tuesday 05:00 AM to 10:00 PM Wednesday 05:00 AM to 10:00 PM Thursday 05:00 AM to 10:00 PM Friday 05:00 AM to 10:00 PM Saturday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,05:00,22:00,,,,,medium,Monday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,,,,,,,medium,Monday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,05:00,22:00,,,,,medium,Tuesday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,,,,,,,medium,Tuesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,05:00,22:00,,,,,medium,Wednesday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,,,,,,,medium,Wednesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,05:00,22:00,,,,,medium,Thursday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,,,,,,,medium,Thursday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,05:00,22:00,,,,,medium,Friday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,,,,,,,medium,Friday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,05:00,22:00,,,,,medium,Saturday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,,,,,,,medium,Saturday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 04:00 AM to 04:00 AM Tuesday 04:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM LOBBY HOURS Today 05,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,Today 04:00 AM to 04:00 AM Monday 04:00 AM to 04:00 AM Tuesday 04:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,Monday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,,,,,,,medium,Monday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,04:00,04:00,,,,,medium,Tuesday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,,,,,,,medium,Tuesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,04:00,04:00,,,,,medium,Wednesday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,,,,,,,medium,Wednesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,04:00,04:00,,,,,medium,Thursday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,,,,,,,medium,Thursday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,04:00,04:00,,,,,medium,Friday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,,,,,,,medium,Friday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,04:00,04:00,,,,,medium,Saturday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,,,,,,,medium,Saturday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,05:00,22:00,,,,,medium,Today 05:00 AM to 10:00 PM Monday 05:00 AM to 10:00 PM Tuesday 05:00 AM to 10:00 PM Wednesday 05:00 AM to 10:00 PM Thursday 05:00 AM to 10:00 PM Friday 05:00 AM to 10:00 PM Saturday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,05:00,22:00,,,,,medium,Monday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,,,,,,,medium,Monday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,05:00,22:00,,,,,medium,Tuesday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,,,,,,,medium,Tuesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,05:00,22:00,,,,,medium,Wednesday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Wednesday,,,,,,,medium,Wednesday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,05:00,22:00,,,,,medium,Thursday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Thursday,,,,,,,medium,Thursday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,05:00,22:00,,,,,medium,Friday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Friday,,,,,,,medium,Friday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,05:00,22:00,,,,,medium,Saturday 05:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Saturday,,,,,,,medium,Saturday,https://locations.jackinthebox.com/us/az/phoenix/2113-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,tacos;burgers,medium,"jQuery(document).ready(function() { var amenitiesString = ""{&quot;has_drive_through&quot;:&quot;true&quot;}""; var objAmenities = JSON.parse(amenitiesString.replace(/&quot;/g, '""')); content = """"; jQuery.each(objAmenities, function(i, item) ",https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,"Jack in the Box OPEN TODAY UNTIL 04:00 A.M. 9841 W Happy Valley Rd Peoria, AZ 85383 (623) 561-1610 View Menu Get Directions Order NOW Download APP Download APP Available at this Location DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 06",https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,"9841 W Happy Valley Rd Peoria, AZ 85383 (623) 561-1610 View Menu Get Directions Order NOW Download APP Download APP Available at this Location DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 06:00 AM to 10:00 PM Tuesday 06:00 AM to 04:00",https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,DRIVE-THRU HOURS Today 04:00 AM to 04:00 AM Monday 06:00 AM to 10:00 PM Tuesday 06:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM LOBBY HOURS Today 06,https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,04:00,04:00,,,,,medium,Today 04:00 AM to 04:00 AM Monday 06:00 AM to 10:00 PM Tuesday 06:00 AM to 04:00 AM Wednesday 04:00 AM to 04:00 AM Thursday 04:00 AM to 04:00 AM Friday 04:00 AM to 04:00 AM Saturday 04:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,06:00,22:00,,,,,medium,Monday 06:00 AM to 10:00 PM,https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Monday,,,,,,,medium,Monday,https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
Jack in the Box,Special,,Tuesday,06:00,04:00,,,,,medium,Tuesday 06:00 AM to 04:00 AM,https://locations.jackinthebox.com/us/az/peoria/9841-w-happy-valley-rd
