venue_name,street_hint,title,description,weekday,start_time,end_time,price,currency,restrictions,category,confidence,source_snippet,source_url,scrape_allowed
Cajun Queen,,Special,,,,,,,,bbq,low,Menu Specials Order Reserve Parties Catering Jobs Gift Cards BBQ Shrimp recipe Twitter pageFacebook pageInstagram pageYelp page,https://cajunqueen.com/,true
Cajun Queen,,Special,,,,,,,,bbq,low,Toggle navigationTwitter pageFacebook pageInstagram pageYelp page Menu Specials Order Reserve Parties Catering Jobs Gift Cards BBQ Shrimp recipe,https://cajunqueen.com/,true
Cajun Queen,,Special,,,,,,,,bbq,low,Menu Specials Order Reserve Parties Catering Jobs Gift Cards BBQ Shrimp recipe,https://cajunqueen.com/,true
Cajun Queen,,Special,,,,,,,,,low,"About usProudly serving Charlotte since 1985Nestled in historic Elizabeth, this 100-year-old house is a warm, friendly place for business and fun. Featuring live music in our upstairs dining room and quieter dining downstairs, there is some",https://cajunqueen.com/,true
Cakeable Cafe,401 North Tryon Street,Special,,,,,16.50,USD,,tacos,medium,"We create opportunitiesWelcome to Cakeable: Inclusive Employment in CharlotteCakeable is a nonprofit workforce development program. We offer vocational training opportunities at Cakeable Cafe. Apply Now <img decoding=""async"" src=""https://we",https://wearecakeable.org/,true
Cakeable Cafe,401 North Tryon Street,Special,,,,,,,,,low,"Follow us @wearecakeable 🌟 WE’VE HIT 50! 🌟 It was a big week as we <img decoding=""async"" src=""https://i0.wp.com/wearecakeable.org/wp-content/plugins/instagram-feed/img/placeholder.png"" alt=""🌟 WE’VE HIT 50! 🌟 It was a big week as we grad",https://wearecakeable.org/,true
Cakeable Cafe,401 North Tryon Street,Special,,,,,,,,,low,"🌟 WE’VE HIT 50! 🌟 It was a big week as we <img decoding=""async"" src=""https://i0.wp.com/wearecakeable.org/wp-content/plugins/instagram-feed/img/placeholder.png"" alt=""🌟 WE’VE HIT 50! 🌟 It was a big week as we graduated our 50th intern at ",https://wearecakeable.org/,true
Cakeable Cafe,401 North Tryon Street,Special,,,,,,,,,low,"🌟 WE’VE HIT 50! 🌟 It was a big week as we <img decoding=""async"" src=""https://i0.wp.com/wearecakeable.org/wp-content/plugins/instagram-feed/img/placeholder.png"" alt=""🌟 WE’VE HIT 50! 🌟 It was a big week as we graduated our 50th intern at ",https://wearecakeable.org/,true
Cakeable Cafe,401 North Tryon Street,Special,,,,,,,,,low,"It’s September! That means warm flavors like app <img decoding=""async"" src=""https://i0.wp.com/wearecakeable.org/wp-content/plugins/instagram-feed/img/placeholder.png"" alt=""It’s September! That means warm flavors like apple, pumpkin and chai",https://wearecakeable.org/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Monday,,,,,,,low,Making Mondays Better Half Price Large Chicken Cheesesteaks Every Monday! Order Now,https://cheatscheesesteaks.com/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Monday,,,,,,,low,Making Mondays Better,https://cheatscheesesteaks.com/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Monday,,,,,,,low,Half Price Large Chicken Cheesesteaks Every Monday!,https://cheatscheesesteaks.com/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Tuesday,,,,,,,low,🏈 Who’s ready for football season and Cheats It’s Tuesday which means we have a great deal! N Happy Labor Day! We’re open until 9 PM—and it This long holiday weekend let Cheat’s do all the Cheat’s on Instagram,https://cheatscheesesteaks.com/,true
Cheat's Cheesesteaks,913 Pecan Avenue,Special,,Tuesday,,,,,,,low,🏈 Who’s ready for football season and Cheats It’s Tuesday which means we have a great deal! N Happy Labor Day! We’re open until 9 PM—and it This long holiday weekend let Cheat’s do all the,https://cheatscheesesteaks.com/,true
Chipotle,2312 Whitehall Park Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2312-whitehall-park-dr,true
Chipotle,2312 Whitehall Park Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2312-whitehall-park-dr,true
Chipotle,2312 Whitehall Park Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2312-whitehall-park-dr,true
Chipotle,11619 Waverly Center Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/11619-waverly-center-dr,true
Chipotle,11619 Waverly Center Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/11619-waverly-center-dr,true
Chipotle,11619 Waverly Center Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/11619-waverly-center-dr,true
Chipotle,4022 Connection Point Boulevard,Special,,MONDAY,20:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4022-connection-point-blvd,true
Chipotle,4022 Connection Point Boulevard,Special,,MONDAY,20:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4022-connection-point-blvd,true
Chipotle,4022 Connection Point Boulevard,Special,,MONDAY,20:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4022-connection-point-blvd,true
Chipotle,7724 Pineville Matthews Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,true
Chipotle,7724 Pineville Matthews Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,true
Chipotle,7724 Pineville Matthews Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,true
Chipotle,4400 Sharon Road,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,true
Chipotle,4400 Sharon Road,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,true
Chipotle,4400 Sharon Road,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,true
Chipotle,4400 Sharon Road,Special,,,04:00,08:00,,,,,low,"{""opendate"":{""day"":24,""month"":4,""year"":2012}}COMING SOONCHIPOTLE MEXICAN GRILL 4400 Sharon Rd Space G41 Charlotte, NC 28211 USNear Sharon Rd & Fairview RdGet DirectionsMain Number(704) 705-4993(704) 705-4993Order OnlineOrder CateringDeliver",https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,true
Chipotle,4400 Sharon Road,Special,,,04:00,08:00,,,,,low,STORE HOURS CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 10:45 AM CURRENTLY CLOSED 12:00 PMStore Hours:Day of the WeekHoursMonday - Thursd,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,true
Chipotle,9355 North Tryon Street,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,true
Chipotle,9355 North Tryon Street,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,true
Chipotle,9355 North Tryon Street,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,true
Chipotle,3320 Potomac River Parkway,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/3320-potomac-river-pkwy,true
Chipotle,3320 Potomac River Parkway,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/3320-potomac-river-pkwy,true
Chipotle,3320 Potomac River Parkway,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/3320-potomac-river-pkwy,true
Chipotle,9821 Northlake Centre Parkway,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9821-northlake-centre-pkwy,true
Chipotle,9821 Northlake Centre Parkway,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9821-northlake-centre-pkwy,true
Chipotle,9821 Northlake Centre Parkway,Special,,MONDAY,00:00,09:00,,,,tacos,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/9821-northlake-centre-pkwy,true
Chipotle,239 South Kings Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/239-s-kings-dr,true
Chipotle,239 South Kings Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/239-s-kings-dr,true
Chipotle,239 South Kings Drive,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/239-s-kings-dr,true
Chipotle,2109 South Boulevard,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2109-south-blvd,true
Chipotle,2109 South Boulevard,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2109-south-blvd,true
Chipotle,2109 South Boulevard,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2109-south-blvd,true
Chipotle,2921 Providence Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2921-providence-rd,true
Chipotle,2921 Providence Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2921-providence-rd,true
Chipotle,2921 Providence Road,Special,,MONDAY,00:00,09:00,,,,tacos;drinks;happy_hour,medium,"{""config"": {""apiID"":""pk.eyJ1IjoieWV4dCIsImEiOiJqNzVybUhnIn0.hTOO5A1yqfpN42-_z_GuLw"",""baseUrl"":""../../"",""channelId"":""locations.chipotle.com"",""disableMapControl"":true,""extraData"":null,""linkToGetDirections"":true,""mapId"":""dir-map"",""mapboxMapIde",https://locations.chipotle.com/nc/charlotte/2921-providence-rd,true
